GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
79,46.45,49.1,49.5,13.28,0.0,0.0,-30.44,-44.29,115.12,-2.68,-9.6,8.9,196.03,-0.7,195.33
80,43.85,57.17,53.23,14.71,0.0,0.0,-29.88,-40.59,117.74,-2.89,-9.07,8.65,213.35,-0.42,212.94
81,51.15,43.3,51.1,15.33,0.0,0.0,-33.45,-43.17,118.82,-3.02,-7.83,8.72,200.05,0.89,200.93
82,36.91,50.96,45.29,15.32,0.0,0.0,-25.92,-46.36,116.1,-1.17,-7.3,8.84,191.13,1.54,192.66
83,40.53,47.43,45.84,15.5,0.0,0.0,-33.91,-43.97,114.64,-2.17,-5.81,8.24,183.88,2.43,186.32
84,40.68,41.37,40.76,11.31,0.0,0.0,-28.67,-44.15,118.23,-2.68,-5.8,8.62,176.86,2.82,179.69
85,44.83,43.36,50.3,13.08,0.0,0.0,-33.51,-44.42,114.0,-3.28,-6.18,8.08,184.36,1.9,186.27
86,47.47,50.86,48.93,15.29,0.0,0.0,-31.48,-44.67,118.73,-3.59,-6.62,8.43,201.55,1.81,203.36
87,37.85,44.29,48.37,12.34,0.0,0.0,-34.88,-42.38,119.28,-4.01,-6.88,8.14,180.86,1.27,182.12
88,47.22,43.83,42.98,15.58,0.0,0.0,-33.29,-40.37,112.93,-3.4,-6.13,7.99,185.48,1.86,187.34
89,38.09,51.5,40.38,15.45,0.0,0.0,-35.49,-41.9,120.01,-3.41,-5.56,7.88,184.62,2.33,186.95
90,38.04,41.25,49.41,14.92,0.0,0.0,-29.26,-40.74,123.97,-2.83,-8.55,8.67,194.78,0.12,194.89
91,42.56,45.77,56.77,15.12,0.0,0.0,-39.17,-40.02,123.2,-4.85,-6.72,7.81,199.39,1.09,200.48
92,47.7,47.31,39.86,15.82,0.0,0.0,-30.36,-42.94,117.49,-4.72,-5.45,7.96,190.16,2.51,192.67
93,44.34,51.96,38.67,16.78,0.0,0.0,-36.34,-44.03,115.28,-3.29,-5.71,8.01,183.38,2.3,185.68
94,43.54,45.92,51.02,14.95,0.0,0.0,-31.86,-43.24,116.68,-4.62,-7.23,8.53,192.4,1.31,193.71
